id,created_at,favorite_count,retweet_count,text
1412865160239276032,2021-07-07 20:04:38,14,2,My bf? I won! 🥺♥️
1412864980089716736,2021-07-07 20:03:55,11,3,DAMN🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/IETG1WGge0
1412864864108883968,2021-07-07 20:03:28,46,12,What if President Jacob Zuma goes in the bunker? #Nkandla #ZumaArrest #ZumaJudgement https://t.co/8dj3xckiYd
1412864586492088321,2021-07-07 20:02:21,257,25,I hope England makes it to the finals 🤞🏽
1412864388084740098,2021-07-07 20:01:34,19,1,One thing about my people ? they’ll accuse you of killing someone  #ReaTsotellaWednesday
1412864282602184704,2021-07-07 20:01:09,12,2,These songs ne 😍😘 https://t.co/8G0yFN1IKu
1412864235101696000,2021-07-07 20:00:58,6,4,"The world's largest asset manager has downgraded its outlook on emerging markets, including South Africa, choosing to be more neutral than bullish on developing economies' equity markets. | @Fin24 

https://t.co/NjiGDHndA6"
1412863691490435075,2021-07-07 19:58:48,152,60,It’s a difference between being in love and simply having love for someone.
1412863602982260738,2021-07-07 19:58:27,22,0,Baaathong he doesn’t want her in the main house as if kukwakhe!  #ReaTsotellaWednesday
1412862924713082880,2021-07-07 19:55:45,120,7,Cobrizi is stressing me 😫 #TheRiver
1412862271471206407,2021-07-07 19:53:09,386,59,"Journalist: The clock is ticking sir, he (Jacob Zuma) would have to hand himself over to the police before midnight?

Edward Zuma: “I suggested the clock unticks itself.” #ZumaJudgement #Nkandla https://t.co/7IdKhmRE7u"
1412861488700788745,2021-07-07 19:50:03,11,2,"On #ThisDayInMemeHistory 7 years, the manga “My Hero Academia” was released! https://t.co/gFpdyQe44G https://t.co/UQiHpSVB0J"
1412861088111210497,2021-07-07 19:48:27,17,6,Goodnight Mpumalanga 🔥 https://t.co/yqT6bcgteo
1412860978627334155,2021-07-07 19:48:01,284,69,"LIVE | Less than 3 hours left: Edward Zuma 'instructs' supporters to block entrance to Nkandla

https://t.co/aUha90miPO https://t.co/ozCKSE52y8"
1412860665711239169,2021-07-07 19:46:47,69,4,"All of a sudden Denmark doesn’t play now, what happened to the possession 💔"
1412860253386031111,2021-07-07 19:45:08,4,0,"With France's 2021 Cannes Film Festival kicking off on 6 July, Africa's growing film festival circuit is still grappling with big existential questions amid the ongoing global coronavirus pandemic. | @Channel24 

https://t.co/CDwrR40Um9"
1412859449396637699,2021-07-07 19:41:57,125,16,"Bro I will block you, we dealing with serious issues here. This is not deep House https://t.co/dxCA4rY4D9"
1412859219016093700,2021-07-07 19:41:02,0,0,Come on England! 1-1
1412859134966386690,2021-07-07 19:40:42,41,1,Essesss own goal💔
1412858821693874186,2021-07-07 19:39:27,0,0,#ENGDEN what a save🔥🔥🔥🔥🔥🔥
1412858592890347523,2021-07-07 19:38:32,8,1,"The City of Cape Town has managed to reach a last-minute agreement with a service provider to service container toilets in Khayelitsha and Nyanga.  | @MarvinCharles_ 

https://t.co/lnLiLaOCol"
1412858544756596736,2021-07-07 19:38:21,148,5,"England doesn’t have the quality to comeback..., nice thing about the Denmark defence is that they as tall as Kane, so.....🤷🏾‍♂️"
1412858155344748545,2021-07-07 19:36:48,63,7,"On another episode of Tweet or Drink. Find out how messy your favs can be if they had control over your social media. @foyin. 

Premier tomorrow at 13:00⬇️⬇️
https://t.co/pjsQQ10Q4g https://t.co/BvqXqsqXi4"
1412857956945760260,2021-07-07 19:36:01,0,0,southgate shithousery will be exposed tonight 😂
1412857445714739211,2021-07-07 19:33:59,75,9,Stop it. The ANC have their faults but they inherited a broken system. It’s hard to fix decades of torture and discrimination. They could be doing better but you need to relax. https://t.co/FLuYGmKavo
1412856881761116164,2021-07-07 19:31:44,155,10,DENMARK 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🤣🤣🤣🤣🤣
1412856732133609475,2021-07-07 19:31:09,3,0,What a BULLÈ!! 🚀🚀🚀🚀🚀🚀
1412856671605510147,2021-07-07 19:30:54,24,2,Yoh Cynthia Erivo knocks out the Aretha Franklin vocal like it's merely just breathing. A proper GOAT that hun.
1412856519360720903,2021-07-07 19:30:18,24,4,"It was an acknowledgement of a legend as the crowd at Wimbledon's centre court rose and applauded Roger Federer as he left the court following his quarter-final loss to Poland's Hubert Hurkacz. | @Sport24news 

https://t.co/FXJxtDtkmw"
1412855846082600965,2021-07-07 19:27:37,121,5,"As expected Denmark is playing better football, deserves to be in the Final. We don’t want a yawn fest of high balls in the finals."
1412855795813863427,2021-07-07 19:27:25,40,2,Self love is important. Love this for her ❤️ https://t.co/zNL7C4WODN
1412855301443833860,2021-07-07 19:25:28,8,0,Indeed !!! Cynthia is it in this role https://t.co/oyaKLSPkx9
1412855006504665093,2021-07-07 19:24:17,111,7,🕯🙏🏾 https://t.co/Hz0exIsSSV
1412854956722470918,2021-07-07 19:24:05,120,7,😂😂 https://t.co/123nzLuKeU
1412854144415715331,2021-07-07 19:20:52,131,28,Don't lower your standard to keep anyone.
