id,created_at,favorite_count,retweet_count,text
1415286665141161988,2021-07-14 12:26:50,0,0,"The people of EC, we see you ✊🏽👏🏽"
1415286654764560389,2021-07-14 12:26:47,0,0,Old story but when she told the entire school the only reason I’m doing so well &amp; my parents are doing so well is cause my mom practises witchcraft😭😭🤣 https://t.co/A8Bg7j6gXp
1415286432596430848,2021-07-14 12:25:54,13,2,Not Cyril’s minions attacking me lol. Qhubekani. 😂😂😂
1415286416075018243,2021-07-14 12:25:50,1,1,"The Legal Practice Council, which regulates the legal profession, has condemned ""unwarranted criticism"" of the judiciary, after the Constitutional Court sentenced former president Jacob Zuma to 15 months behind bars for contempt of court. | @J_chabalala 

https://t.co/pdADl5qtEa"
1415286181659615237,2021-07-14 12:24:55,26,2,South African politics is in the gutter.
1415286150072258564,2021-07-14 12:24:47,6,3,"A 38-year-old Cape Town man has been attacked by a shark in Jeffreys Bay. | @CebohNyambose 

https://t.co/W8F49XYKfl"
1415285984376328193,2021-07-14 12:24:08,0,0,Her remark really shocked me. https://t.co/Tr5d7oEhXm
1415285772131966976,2021-07-14 12:23:17,14,1,🙄🙄🙄 it’s this type rubbish that used to make me swear. Now I just block. https://t.co/TzoZfDJT5q
1415285359806717956,2021-07-14 12:21:39,17,6,"Three people were shot and wounded when a gunman opened fire on their taxi, on the N2 en route to Cape Town, as violence linked with route rivalry continues in the taxi industry. | @itchybyte 

https://t.co/mABBzZ0R1b"
1415284784318799876,2021-07-14 12:19:21,7,2,Bathini? Bathi what the fuck?
1415284384266084353,2021-07-14 12:17:46,1,0,"Yehhen saze savelelwa ilomatshingelane today, every tweet https://t.co/8gq5ihuTqp"
1415284199318294533,2021-07-14 12:17:02,2,0,Weeeeehhhh🤣 https://t.co/8h3z4q0WOk
1415284058658123779,2021-07-14 12:16:28,3,0,@TakaTina1 🤣🤣🤣🤣
1415283942551441414,2021-07-14 12:16:01,0,0,@TakaTina1 Haibo https://t.co/xEOpLVItQT
1415283803459923972,2021-07-14 12:15:28,4,0,@MathabaJorge Wena I just want to block you🤞🏾😭
1415283724825120769,2021-07-14 12:15:09,60,16,"‘What was not taken has been broken’ – mass looting leaves small businesses in ruins | @BISouthAfrica 

https://t.co/TlkLRZMnKq https://t.co/ACm4wAO1ul"
1415283624077938693,2021-07-14 12:14:45,5,1,"Guys, Vodacom? What’s going on there?"
1415283552867045376,2021-07-14 12:14:28,2,0,@MichaelBucwa Let's work it out
1415283395098185732,2021-07-14 12:13:50,63,8,"@MichaelBucwa Umna I once got a R500 traffic fine, so I told this Cop that he must write R1000 cause on my way back I will be driving at same speed, he must not stop me cause I'm paying in advance..this guy wanted to moer me🤷🏾‍♂️ njani Kodwa I'm making it easy for him"
1415283067833487361,2021-07-14 12:12:32,7,0,🤣 I love you https://t.co/lLLdHkYlrL
1415283049672105987,2021-07-14 12:12:28,5,0,"Guys, kwenzakalani https://t.co/y9TKQR5sxP"
1415282100891181056,2021-07-14 12:08:42,40,5,"In other words, mind your business bosweerie🤍"
1415281660170547200,2021-07-14 12:06:57,7,2,🤣♥️ https://t.co/j1Cv1KtTUK
1415281394218045440,2021-07-14 12:05:53,4,0,Let me make hubbly chile.
