id,created_at,favorite_count,retweet_count,text
1413158557785198594,2021-07-08 15:30:30,1.0,0.0,"Tokyo has barred spectators at the Olympics | @BISouthAfrica 

https://t.co/TzfYvaUe0V https://t.co/nY8IRWG7eO"
1413157985690476549,2021-07-08 15:28:13,10.0,5.0,Where can I get this weed? 🤣🤣 https://t.co/UyNEBiBwNZ
1413156064753770499,2021-07-08 15:20:35,12.0,1.0,"Exposing your private issues, using your weaknesses and insecurities to win over an argument, being passive aggressive and bullying you indirectly &lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt;&lt; https://t.co/rK635Or0wT"
1413155128643891203,2021-07-08 15:16:52,241.0,22.0,"Thank you Khosi for supporting the Glamour Boys and our Going For Gold campaign.

We will upgrade you and reward you with the current Kaizer Chiefs jersey!

#KCGoldenGlamour #KCGoingForGold #Amakhosi4Life #KCOneTeam https://t.co/zA5RpfYZnT"
1413155007298301957,2021-07-08 15:16:23,1.0,0.0,Yall need to have a Pie chart https://t.co/ps8mYlfkU5
1413154874406019078,2021-07-08 15:15:51,10.0,1.0,#DedicationToMyEx today is Kanye West with Gold Digger chosen by Sbu from Tembisa. Send your dedication with your message to on VN to 0681999999 #TheKingsSuite https://t.co/FQQF26tBsJ
1413154706902458368,2021-07-08 15:15:11,4.0,3.0,"Steinhoff International Holdings may soon release a revised proposal to resolve more than $8 billion (R115 billion)  of legal claims against the retailer after a previous deal recently fell through. | @Fin24 

https://t.co/ydCk942XKN"
1413154190638071811,2021-07-08 15:13:08,6.0,0.0,Felt 💔 https://t.co/9zyT4iipPa
1413153964573528068,2021-07-08 15:12:14,16.0,3.0,"Cape Town’s disaster agencies are on standby as the cold front made landfall on Thursday. | @MarvinCharles_ 

https://t.co/P9XMsKcOGy"
1413153084830744579,2021-07-08 15:08:45,15.0,3.0,🙏♥️ https://t.co/MpC3mwh5nw
1413152970716323850,2021-07-08 15:08:17,26.0,1.0,♥️ https://t.co/Y6Ye7HEbpn
1413152904765009925,2021-07-08 15:08:02,10.0,3.0,"WEBINAR | Zuma vs the courts: Join News24's top editors, reporters at 19:00 tonight as they discuss the dramatic events of the last 10 days. Subscribers can register now.

https://t.co/I2xNpm8RnU https://t.co/8wjp0rfZLg"
1413152218492989443,2021-07-08 15:05:18,7.0,1.0,#ForTheLadies last song is Kings Of Tomorrow ft Julie McKnight - Finally #TheKingsSuite https://t.co/l9nY9JFBI7
1413152001005744138,2021-07-08 15:04:26,15.0,0.0,"Tonight on #TheEstateOn3
Boikanyo signs the confession for Goniwe’s murder. Phenyo’s behaviour is out of hand and the Mokobane cannot cope. Siya and Suzaan reconnect. https://t.co/HTCWfWz3gL"
1413151512604209165,2021-07-08 15:02:30,9.0,4.0,Indoda must have uncapped 🍆.
1413151418672766981,2021-07-08 15:02:07,21.0,5.0,"The Nkandla drama: From tea parties to threats to constitutionalism | @City_Press 

https://t.co/yOCTT9x6rV"
1413150890081521664,2021-07-08 15:00:01,10.0,3.0,"Back for the last dance 🔥🚀

@LamiezHolworthy and @speedstabro are getting the party started with a brand new season of @liveamp tomorrow at 19:30 #SABC1WeMakeSure https://t.co/wNxcCv9663"
1413150798066843654,2021-07-08 14:59:39,337.0,90.0,"JUST IN | Carl Niehaus arrested while addressing media outside Estcourt Correctional Centre

https://t.co/8EGzTUVKy4 https://t.co/hqhhyLqDDE"
1413150247979683848,2021-07-08 14:57:28,1.0,0.0,"So, does anyone still ""trust #thumamina?"""
1413149845662048264,2021-07-08 14:55:52,2.0,2.0,"Let me get this straight...

The biggest political crime in South African history happened while Cyril is President and he is neither able to prevent it nor to bring anyone to justice after it happened.

So what exactly does that say about Cyril Ramaphosa?

#ZumaArrested"
1413149748693852179,2021-07-08 14:55:29,167.0,33.0,Our Girl B*! 🥺❤️ https://t.co/G1fDmOKbUV
1413149567336419339,2021-07-08 14:54:46,65.0,11.0,"Another show! Another week! @sibumabena @wandabaloyi @BrendaMtambo @DrMom_Cooks @thereal__arzee Twitter spaces tonight!?! 

This I’m excited about! #LifeWithKellyKhumalo https://t.co/EqTGxQbOy6"
1413149121523814400,2021-07-08 14:53:00,42.0,15.0,South Africa is a movie guys haibo🤣🤣 https://t.co/6qDW76S1VG
1413148738097352714,2021-07-08 14:51:28,0.0,0.0,@CallMeSithA Listen
1413148574649487367,2021-07-08 14:50:49,0.0,0.0,https://t.co/pq8wcjiJs5 https://t.co/VvHdFCCAtg
1413148428905828361,2021-07-08 14:50:15,5.0,3.0,"The lie about a ""The Best President Ever"" is the biggest grift in our history.

Already up to roughly a 500 BILLION in just the last year.

Will those who fell for it be angry that they were scammed?

Hell no!

They will be angry at the people who tried to warn them."
1413148281182461964,2021-07-08 14:49:39,66.0,19.0,"Former president Jacob Zuma will be eligible for parole just like any other prisoner, which means he will have to serve a quarter of his 15-month sentence before becoming eligible for parole. | @pule_jones 

https://t.co/3zgFgjHhTO"
1413147734689738758,2021-07-08 14:47:29,0.0,0.0,"It's not a matter of not loving Cyril, he is opposite extreme to what we thought.

Some love the guy which is what clouds their judgement

Don't fool yourself by thinking you're objective

As for me, I voted for him and was ecstatic when he won

He has since proven to be a fraud"
1413147332950970384,2021-07-08 14:45:53,48.0,30.0,"The State Security Agency has suspended Robert McBride, the head of the spy agency's foreign branch. His suspension has, however, been shrouded in secrecy as the SSA refuses to divulge the reason behind it. | @JasonFelix 

https://t.co/qHQM8sHifJ"
