id,created_at,favorite_count,retweet_count,text
1412436051872911367,2021-07-06 15:39:31,8.0,2.0,"President Cyril Ramaphosa is studying the Special Investigating Unit report on the health department's controversial R150 million contract with Digital Vibes - a company with alleged links to associates of Minister of Health Zweli Mkhize. | @ntwaagae 

https://t.co/NfUJAiOYSr"
1412436037033398272,2021-07-06 15:39:27,1.0,1.0,"Still waiting for anyone from the ANC &amp; Political Establishment in jail.

Trust:

#ThumaMina 

No one in jail.

Nothing will happen."
1412435513483661315,2021-07-06 15:37:22,1.0,0.0,I think I downloaded the wrong Fast 9 https://t.co/QpGWie0R2L
1412434815597568003,2021-07-06 15:34:36,0.0,0.0,The card was “Breaking Bed” 😭
1412434759146512389,2021-07-06 15:34:23,177.0,23.0,I pray to never date someone who will demand for their things back after breakup.
1412434721817178112,2021-07-06 15:34:14,7.0,5.0,"The South African Medical Research Council has detected the Covid-19 Delta variant in wastewater from several towns in the Western Cape and the City of Cape Town. | @MarvinCharles_ 

https://t.co/LmvHG9HtHj"
1412434467818459137,2021-07-06 15:33:13,4.0,3.0,"A large number of elderly people in the Western Cape have received their Covid-19 jabs, registered to get the vaccine or are open to learning more about the virus, according to Unicef. | @CebohNyambose 

https://t.co/nIf9UP3dRN"
1412434447400521731,2021-07-06 15:33:08,117.0,37.0,"My favorite ppl to work with are those who are grateful, full of passion and full of love."
1412434424008949766,2021-07-06 15:33:03,13.0,0.0,Oh yes! 😭❤️ https://t.co/b5EWorr1wU https://t.co/enOYdRMjjC
1412434339980324880,2021-07-06 15:32:43,1.0,0.0,"95 unleaded will be R17,39 p/litre from tomorrow. It’s becoming more and more difficult to breathe in South Africa."
1412434254634627074,2021-07-06 15:32:22,7.0,5.0,"A teenager from Ratanang Village in Mpumalanga has been arrested after he allegedly stabbed his uncle to death at their home on Monday. | @AlexMitchley 

https://t.co/2e8LBSAvRi"
1412433803562397699,2021-07-06 15:30:35,5.0,1.0,"Following the analysis of the latest sales data distributed by Naamsa, 86.3% of the 38 030 new vehicles sold in South Africa in June were through the dealer network. | @Wheels24 

https://t.co/DcJn3l8hN6"
1412433222961610753,2021-07-06 15:28:16,101.0,12.0,"Hey My Lord, May I take you out for lunch?"
1412432240382984192,2021-07-06 15:24:22,2.0,0.0,❤️ https://t.co/9t8D86aw66
1412432143020593154,2021-07-06 15:23:59,24.0,4.0,🙏🏾 https://t.co/d6JNgGJQDj
1412431978008395783,2021-07-06 15:23:19,39.0,2.0,Slowly but surely getting back to my other love 🎥 ♥️
1412431715654582273,2021-07-06 15:22:17,2.0,0.0,My favourite part😭😭😭 https://t.co/8LCp6i8eFg
1412431150195392516,2021-07-06 15:20:02,7.0,0.0,MakingCents Today we are looking at what goes into the motor insurance calculations #TheKingsSuite https://t.co/w5hfO3AmUE
1412431127197982720,2021-07-06 15:19:57,7.0,0.0,https://t.co/x7xLN3iaTR https://t.co/ztRtzTGORS
1412429932681220109,2021-07-06 15:15:12,10.0,5.0,"Saturday's tour match between the Bulls and British &amp; Irish Lions at Loftus is reportedly in doubt due to Covid-19 cases in the Bulls camp. | @Sport24news 

https://t.co/yAuVxYAtYL"
1412429546511650821,2021-07-06 15:13:40,3.0,2.0,"Is it any wonder that illegal immigration is surging once again?

Not that anyone in ""#PutSouthAfricansFirst"" talking about it anymore, illegal border crossings are currently at the highest level since 2018

But we can't talk about it. We have to pretend that Cyril solved it."
1412429132814852105,2021-07-06 15:12:01,1.0,0.0,#etvScandal
1412428927247826951,2021-07-06 15:11:12,0.0,1.0,"I don't even think most people really believe the allegations against the establishment.

But, of course, truth doesn't matter to the cult.

To them, the ends always justify the means.

They have absolutely no decency."
1412428835098857474,2021-07-06 15:10:50,1.0,0.0,Don’t let them lie to you money is everything! https://t.co/VeYndlbdMy
1412428636867764239,2021-07-06 15:10:03,10.0,0.0,#DedicationToMyEx today is Joe with All That I Am Chosen by Sfiso. Send your dedication message or VN to 0681999999 #TheKingsSuite https://t.co/IAbLqIJyXt
1412428065842606086,2021-07-06 15:07:47,54.0,15.0,"South Africa’s tavern owners have joined the liquor industry’s calls for relief, urging province authorities to waive annual licence fees for retailers and for traders to be allowed to sell alcohol for home consumption.  | @Fin24 

https://t.co/XKoQWtd9lN"
