id,created_at,favorite_count,retweet_count,text
1414309322134274054,2021-07-11 19:43:13,24,3,The older I get the more I appreciate being home doing absolutely nothing
1414308887889592323,2021-07-11 19:41:30,128,11,"As you sleep tonight, I declare God will surprise you in the morning with breakthroughs and miracles. Sleep well beloved. 🤎🙏🏾"
1414308840015863808,2021-07-11 19:41:18,15,2,South Africa is the new Zimbabwe !!
1414308647191158796,2021-07-11 19:40:32,52,1,Is she okay upstairs? #Uyajola99 #Uyajola99sunday https://t.co/bHhyjXvU2B
1414308613041106949,2021-07-11 19:40:24,0,0,"waistcoat merchants can’t have an entire euro under their belts, no ways??????"
1414308525052944385,2021-07-11 19:40:03,5,0,It embarrasses me when you guys don’t untag me on a reply to a tweet I retweeted ube uthetha inyongo ubonanje.
1414308027646218244,2021-07-11 19:38:05,1,0,italy WILL win this game
1414307760070696974,2021-07-11 19:37:01,2,0,@MasekoValencia I hate you shem 🤣🤣🤣
1414307398148308994,2021-07-11 19:35:34,8,1,"😭😭😭😭😭
 https://t.co/pHCcQfSCzq"
1414307143642140675,2021-07-11 19:34:34,13,0,@lasizwe 🤣
1414307129578692608,2021-07-11 19:34:30,37,1,#Uyajola99😭 ula🍑 #Uyajola99Sunday https://t.co/cfkC0jKAAE
1414307117880709125,2021-07-11 19:34:28,17,1,This space 😭😭😭😭😭😭
1414306795544326144,2021-07-11 19:33:11,400,19,“We used to be di lovers couple’s ” #Uyajola99 https://t.co/iXcn4qQsVc
1414306723381317644,2021-07-11 19:32:54,166,8,What’s going on here? #Uyajola99sunday #Uyajola99 https://t.co/O2Jyda3ZOA
1414306155850092549,2021-07-11 19:30:38,0,0,🕯🕯🕯 https://t.co/Asclx31yDg
1414306136946319361,2021-07-11 19:30:34,293,77,If ya’ll dont see that we are on our own. Then wauw.. 🙆🏿‍♀️ If this pandemic doesn’t wake us up to our reality. Nothing will. Blatant disregard for the people.
1414305754522263554,2021-07-11 19:29:03,19,0,Coming up this week on #thequeenmzansi ❤️ https://t.co/GFrFdWxd3H
1414305732514795540,2021-07-11 19:28:57,10,2,"Hi there , everything 

https://t.co/pHCcQfSCzq"
1414305699635601409,2021-07-11 19:28:49,82,20,What they wanted vs what they Got😭⚰️ https://t.co/hp4FmCr1qz
1414305304045568004,2021-07-11 19:27:15,1,0,😫😩🤧 https://t.co/D7E426AqnT
1414305219169640448,2021-07-11 19:26:55,93,2,When you go from baby to mme weee.  #Uyajola99 #Uyajola99sunday https://t.co/EKjFAmZtEN
1414304928433061893,2021-07-11 19:25:46,0,0,"With everything that is happening in SA right now, all we need is a very long nap... yoh le busy yong"
1414304829556543489,2021-07-11 19:25:22,39,7,"My grandfather almost lost hope, cause the next day when I was at school he went to look where he last saw them

He met a guy emakuleng who gave him cell numbers of everyone who was protesting, when we called, a huge white guy with a long beard picked up and gave us an attitude"
1414304804113899522,2021-07-11 19:25:16,1,0,Jorginho you better walk that off😩
1414304789371015168,2021-07-11 19:25:12,30,1,"Hi everything 

https://t.co/7oJHLJirkT"
1414304738385043461,2021-07-11 19:25:00,90,5,"Negative energies, these women must love themselves more, causing a scene is so embarrassing &amp; debilitating. if he is cheating get out of that damn relationship. #Uyajola99 #Uyajola99Sunday"
1414304570084368387,2021-07-11 19:24:20,7,1,"Uthi it’s tribalism what kind of a leader speaks like this 

#KZNshutdown https://t.co/HkCXOH3jE9"
1414304545421864965,2021-07-11 19:24:14,150,9,I really just want to give my children the world 🥺
1414304531735883783,2021-07-11 19:24:11,53,3,Men will embarrass you #Uyajola99 #Uyajola99sunday
1414304409115316224,2021-07-11 19:23:42,174,11,She couldn’t leave alcohol behind. #Uyajola99 #Uyajola99sunday https://t.co/0LBuvEvpeI
1414304296770973702,2021-07-11 19:23:15,152,8,❤ https://t.co/DshVRA372v
1414304002687307786,2021-07-11 19:22:05,6,0,#JHBViolence
1414303984068841473,2021-07-11 19:22:00,0,0,these people need prayers and a hot clap... https://t.co/w0CnxxWKgB
1414303635316563969,2021-07-11 19:20:37,564,22,"I wonder why he couldn’t just tell her what he’s telling her today, long before cheating. Ayy amadoda #Uyajola99 https://t.co/5Ta2Gfky2U"
1414303470774018051,2021-07-11 19:19:58,82,1,Why should you be fighting for someone you don’t want? Why can’t you just move on after finding out that he’s cheating? #Uyajola99 #Uyajola99Sunday https://t.co/esZ9j1KZm2
1414303431171391499,2021-07-11 19:19:49,0,0,This is crazy!!! https://t.co/dF0qvTo0jg
1414303114434338822,2021-07-11 19:18:33,568,22,Surely uJub Jub did cross country/athletics in high school ngoba heyi he runs in these episodes  #Uyajola99
1414303044544745472,2021-07-11 19:18:16,242,12,Umdali uyakthatha okungelutho akwenze utho. Mam Jwarha’s Relentless Prayers. ❤️ https://t.co/Hx4DU1XhHK
1414303042300784643,2021-07-11 19:18:16,10,3,https://t.co/By0KBr5HQV | Ireland's first ODI against South Africa abandoned https://t.co/aksxQkJ2Tn
1414303042275581957,2021-07-11 19:18:16,34,7,"https://t.co/By0KBr5HQV | 'It's a good step' - Restaurants welcome reopening, albeit under strict protocols https://t.co/LC3JgFAOKb"
1414303042158084102,2021-07-11 19:18:16,43,7,https://t.co/By0KBr5HQV | Djokovic wins 20th Grand Slam with sixth Wimbledon triumph https://t.co/dfqt8MyPGf
1414302847861153797,2021-07-11 19:17:30,50,10,https://t.co/By0KBr5HQV | Former president Zuma’s brother dies after long illness https://t.co/fljtxA3LiF
1414302847806722054,2021-07-11 19:17:30,70,9,https://t.co/By0KBr5HQV | IN FULL | Ramaphosa keeps SA on Level 4 as he slams 'ethnic mobilisation' of Zuma unrest https://t.co/KPR0sv6qa1
1414302780882309125,2021-07-11 19:17:14,92,8,"I'm tired of seeing women fighting other women on this show. why not fight the man, he's the one cheating. #Uyajola99 #Uyajola99Sunday"
1414302453776977930,2021-07-11 19:15:56,0,0,No😫😫😫😫😫😫 https://t.co/8Auh3iBM3Z
1414302432465723396,2021-07-11 19:15:51,7,0,My nieces and nephew have a MOUTH. I’m leaving tomorrow.
1414302416716042241,2021-07-11 19:15:47,11,6,Tonight’s episode with one of SAs influencers @arantxammaarman : here’s the link https://t.co/OwxqP9BzLE #nochillvodcast https://t.co/sWExNS5nuf
1414302223945936902,2021-07-11 19:15:01,218,35,"Cheating Seems Like A Funny Game These Days. Most Cheat With No Sense Reasons, Until They Get Caught and Say Sorry after That Continue Again on Cheatin. How can we change this childish behaviour of hurting someone you promised to love and care? #Uyajola99 #Uyajola99Sunday"
1414302089929494539,2021-07-11 19:14:29,212,19,Couldn't Ramaphosa open the sale of alcohol so people can drink comfortably at home?
1414302078701346819,2021-07-11 19:14:26,19,3,These people needs counselling after this. #Uyajola99 #Uyajola99sunday
1414301823951855618,2021-07-11 19:13:25,31,1,Let me quickly ask this one who we’re supporting so I can watch properly 💀
1414301780293324806,2021-07-11 19:13:15,55,8,"Apparently when you treat people like they you, they get upset. 😂😂😂🤭🤭"
1414301704615600144,2021-07-11 19:12:57,410,19,Lmao men are such cowards. You’ll feba with your chest but when it’s time to answer you RUN. Yoh ha.a #Uyajola99
1414301465481465859,2021-07-11 19:12:00,52,6,Chipo will be fine dining by 10 am. Cyril uphantse wamonzakalisa. 😔
1414301252167651337,2021-07-11 19:11:09,0,0,@DJTira @REPLAY uZuma uboshiwe uthule 🤨
1414301187134853123,2021-07-11 19:10:54,1,0,Jose Mourinho was found shaking https://t.co/bGL9xIQG8C
1414301162795413504,2021-07-11 19:10:48,2283,79,"Who else you gon' run with, the truth is us 👩🏽‍🤝‍👩🏾

@Tebby_Leburu https://t.co/NxbMgS5Fxr"
1414301012794478592,2021-07-11 19:10:12,30,6,Kwakumnandi uncinda nawe nge sonka kulo curry ngoku uyazikhupha https://t.co/4vHCGmZN9q
1414301009980104709,2021-07-11 19:10:11,60,4,How do these people even get caught cheating by Jub Jub? #Uyajola99 #Uyajola99sunday
1414300985246326785,2021-07-11 19:10:05,4,0,😭😭😭 https://t.co/iNiM4Uecff
1414300713761615880,2021-07-11 19:09:01,27,6,What is “ethnic criminality” @eNCA ?
1414300651052572680,2021-07-11 19:08:46,80,15,"There's no way that a divided ANC can build united RSA... 

Their unresolved issues inside the NEC is now spilling over to the people.. 😓.  

They taking our people back to tribalism tensions. https://t.co/jb5BzacGZ7"
1414300588620324870,2021-07-11 19:08:31,211,40,"The looting is on another level, be vigilant and stay safe.🤣🤣😂😂 https://t.co/wjcOLF2oVn"
1414299869234278400,2021-07-11 19:05:39,1,1,😫😕 https://t.co/9QEzZXMZdH
1414299823860330508,2021-07-11 19:05:29,1,0,Shawberto at it again #euro2020 https://t.co/EzDzlmqcHw
1414299662052429828,2021-07-11 19:04:50,0,0,Shawberto Carlos!
1414299653483466759,2021-07-11 19:04:48,75,19,Such disdain from a president in a country where majority of its people are hungry and impoverished and affected most by this pandemic.
1414299561242284036,2021-07-11 19:04:26,1,0,LUKE SHAWWWWW!!!!!!!!!!!!!!
1414299528514076674,2021-07-11 19:04:18,0,0,"Luke Shaaaaaaawwwwwww! Don Luke! 🦁🦁🦁🏴󠁧󠁢󠁥󠁮󠁧󠁿
#Euro2020Final 
#ThreeLions"
1414299286829944836,2021-07-11 19:03:21,5,0,"Enkosini guys 😭🙏🏾🙏🏾 my mom is being such a child and I want her to go while she’s still agreeing, have convinced her. before I lose her to the blood of Jesus vaccination again. https://t.co/wpeBdbNcEq"
1414299286192508931,2021-07-11 19:03:20,2,0,Yhoo hayi kodwa Shasha 😭😭😭 https://t.co/gpmavpXdHU
1414299216747372554,2021-07-11 19:03:04,255,21,#Uyajola99 should be for married people not abo girlfriend &amp; boyfriend because we are still borrowed not married. Only married people can be regarded as cheating  #Uyajola99Sunday
1414298929605357574,2021-07-11 19:01:55,47,9,"My love, thank you🥺❤️ https://t.co/BIerTFN1U8"
1414298920784629766,2021-07-11 19:01:53,0,0,Let’s go! 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇮🇹
1414298905983004672,2021-07-11 19:01:50,11,0,Take a lot delivery tomorrow 😭😭😭😭 I’m so excited might just work on this the whole week.
1414298838614093826,2021-07-11 19:01:34,14,2,Completely.. https://t.co/vn3dMmoNsS
1414298447029616640,2021-07-11 19:00:00,36,1,#Uyajola99 O’clock #Uyajola99sunday
1414298389362233354,2021-07-11 18:59:47,27,0,@akreana_ #keadrive
1414298319074086912,2021-07-11 18:59:30,0,0,"Let me log off and watch the game, I foresee chaos 😂🤣"
1414297856157048836,2021-07-11 18:57:39,2,1,England fans booing everyone and everything 🤦🏽‍♂️
1414297301246431235,2021-07-11 18:55:27,909,390,South Africa is burning because of Zuma Supporters not Zulu people!!!! What the fuck is ethnic criminality!!? Ethnic mobilisation? A whole president of a country? @PresidencyZA
1414297078134673410,2021-07-11 18:54:34,5,0,Ayyy bandla uMapule
1414297035830960135,2021-07-11 18:54:24,1,1,Exactly https://t.co/Qpe2c4jgbB https://t.co/D8V5eEdJnO
1414296712039051268,2021-07-11 18:53:07,420,61,"Protests bring back bad memories💔

Before my parents were born, my grandfather &amp; I came across protesters,  he was shot in both eyes &amp; lost them,3 weeks later some guy brought the eyes to our house, said he noticed they looked like my grandfather's eyes when he picked them up"
1414295857130782723,2021-07-11 18:49:43,186,28,The nerve of Cyril Ramaphosa. Using the Isizulu language in his speech while the country is on fire. Uyasigcwalisela. https://t.co/xaBEKTvQyF
1414295574245953537,2021-07-11 18:48:35,4,2,@PresidencyZA @CyrilRamaphosa #FreeZuma and save the lives of our people
1414295505639706628,2021-07-11 18:48:19,4,0,"Your President Can Lie.

#FreeJacobZuma"
1414295365176762370,2021-07-11 18:47:46,307,63,So 2 weeks ago it wasn’t safe to eat in restaurants but now it is (provided max 50 patrons)? Somebody please explain these arbitrary decisions to me. So many livelihoods in the restaurant industry were affected by the no sit-in rule. This should have been allowed from the outset.
1414295237304979460,2021-07-11 18:47:15,7,0,😕 https://t.co/Gvhr0CpbGQ
1414295072141680645,2021-07-11 18:46:36,52,9,Statement by President @CyrilRamaphosa on progress in the national effort to contain the Covid-19 pandemic https://t.co/hTj8yzwZXo
1414295056106852356,2021-07-11 18:46:32,1,0,Permit kinda serious https://t.co/KERhO3MRaj
1414294987328589826,2021-07-11 18:46:15,1038,195,Cyril Ramaphosa decided to add fuel to the fire already set ablaze by Jacob Zuma's arrest and lockdown restrictions and regulations. He chose to be ignorant and turned a blind eye to what's happening in the Country. The Worse is yet to come.
1414294914389716993,2021-07-11 18:45:58,240,32,"I’m ruled by emotions than logic and rationality. I’ve always maintained that I don’t desire to be a leader, business owner, boss, director or chairman. I will never be any of those. It’s not my calling."
1414294533664395268,2021-07-11 18:44:27,77,50,What is “ethnic criminality”?
1414294434670387209,2021-07-11 18:44:04,4,0,💀 https://t.co/PHnBrNRble
1414294233373192201,2021-07-11 18:43:16,5,0,All this and you can’t cover a pothole. Your arse https://t.co/7nLN0f97bZ
1414293965717872643,2021-07-11 18:42:12,0,0,"@AdvoBarryRoux @Julius_S_Malema @Julius_S_Malema please consider the sympathisers within the EFF , especially us from the KZN, give us the line of March!"
1414293950593122305,2021-07-11 18:42:08,286,58,"As KZN we feel your pain and frustration South Africa continue adhering to the regulations. Our KZN President elect Ngizwe Mchunu has already addressed us, He put the Zulu nation on level 0 until President Jacob Zuma is released from prison with immediate effect. https://t.co/I1Fpy3OAZP"
1414293926064820224,2021-07-11 18:42:02,49,0,Cela nindicede if your parents got vaccinated recently. My mom finally got the sms and she must make an appointment kwaDischem but it’s saying she must bring a medical aid card ( she doesn’t have one ) aren’t vaccines free or ndim owrongo?
1414293876362317834,2021-07-11 18:41:51,378,15,Root of fame. https://t.co/lTeP03B0Ni
1414293853578973191,2021-07-11 18:41:45,128,45,"“The rule of law safeguards against the abuse of power. The rule of law protects the poor and the vulnerable.”

President ⁦@CyrilRamaphosa⁩ https://t.co/niXRGbJjLl"
1414293780560322560,2021-07-11 18:41:28,1483,246,Comment using #KeaDrive and follow everyone that likes your comment!♥️
1414293580642914305,2021-07-11 18:40:40,95,29,"“While there are those who may be hurt and angry at this moment, there can never be any justification for such violent, destructive and disruptive actions.”

President ⁦@CyrilRamaphosa⁩ https://t.co/NjKZi3XYbK"
1414293486141063169,2021-07-11 18:40:18,3,0,I’ve got a feeling Italy are going to shred the English tonight 💀
1414293272030334983,2021-07-11 18:39:27,5,0,Unati Guma.
1414293237003694088,2021-07-11 18:39:18,211,77,"“Let us be clear, as a nation, that we will not tolerate acts of criminality. Those who are involved in acts of violence will be arrested and prosecuted.” 

President ⁦@CyrilRamaphosa⁩ https://t.co/Ol8rfPj1sE"
1414293148000571393,2021-07-11 18:38:57,6,1,"Uthi imbhikisho yamaZulu Akemukeli ukuthi sithi sibhikishela ukuth uZuma aphume ejele, usisabisa ngama phoyisa nokuboshwa

Engazozenza i-dictator lakithi lo akabe undlovu kayiphikiswa kule NEC yakhe enukayo 

#KZNshutdown  #ShutDownGauteng 
#FamilyMeeting #ShutdownSA"
1414292891653058573,2021-07-11 18:37:56,23,3,Asavela is a talent.
1414292852826333189,2021-07-11 18:37:47,100,41,"President #Ramaphosa: Our Constitution guarantees everyone’s right to freely express themselves and to engage in peaceful protest. While there are those who may be hurt &amp; angry at this moment, there can never be justification for such violent, destructive and disruptive actions. https://t.co/lucyq4vXBp"
1414292831242436628,2021-07-11 18:37:41,7,2,The government didn’t improve healthcare services or facilities during a GLOBAL PANDEMIC. What are the chances of them doing so on a normal Wednesday in the office? Scenes!
1414292594377560067,2021-07-11 18:36:45,693,118,"Cyril Ramaphosa &amp; his government knew that there was Delta disease in India, but they did not close the country to stop Indians coming in our country. They are killing us purposefully so."
1414292473841655810,2021-07-11 18:36:16,7,0,"Okay fuck the president, it’s time for Football ⚽️"
1414292430116069385,2021-07-11 18:36:06,120,34,"“In the past few days, we have seen sporadic but increasingly violent protests in some parts of the country. Property has been destroyed. Cars have been stoned. People have been intimidated and threatened, and some have even been hurt.” 
 
President ⁦@CyrilRamaphosa⁩ https://t.co/eWMKrtPvbT"
1414291755395133441,2021-07-11 18:33:25,703,121,Cyril Ramaphosa must just say he doesn't know what he is doing. Since last year he has been preaching this. It's now boring us.
1414291628706123780,2021-07-11 18:32:55,334,53,This man is in denial. The country is burning 🔥 https://t.co/zoMbmeQ4fX
1414291591221678087,2021-07-11 18:32:46,296,67,Wise words!✊🏿 https://t.co/5tHTwFZGtU
